assignmentId,workerId,hitId
3HPZF4IVN4P51UAEIO24ULQTK9RYCI,A3GBDSRO3V260P,H_0001
3RGU30DZTS4SFRR69DVFNUGH1JMMJU,A1CGK5GD971DCK,H_0001
3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,A2BVK0H0YA09BA,H_0001
358UUM7WRHZQSC3WDC2Z635IGBLR7G,A3IHDNKFEEXOG7,H_0001
3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,AW7JEJN4KPU6B,H_0001
3X3OR7WPZHWJPSD2IXX9YRSEL32L87,A2GVQQL9U1O1N3,H_0001
3S3AMIZX3C123JFNMSFQH0GS2LMDCQ,A1TDFI3P4A3VRP,H_0001
3QAPZX2QNM9V6HMRDN2PQGNNW5020D,A1GTAZVJU5NIVF,H_0001
3U088ZLJV2PHIXKYR7RWEN3C0CU0WS,A11TWZ8EQJ9E7P,H_0001
3S4AW7T80TEI6RQ06U7WHFC9JH74LK,A2OXYZ82Q8UTSA,H_0001
333U7HK6IRBPBXLTWKWC44TNS5UJD9,A36B4ZMCYQHKBJ,H_0001
39GHHAVOMXNCB12039VJ10ZHFS1J4W,A177VIW43UU3O2,H_0001
3X3OR7WPZHWJPSD2IXX9YRSEL338LV,A3DJUABETF36E0,H_0001
3ZQIG0FLQWCXBYLEU4FLZGT2U87VWF,A2GMN5LBCBZFMX,H_0001
35BLDD71IOT15TQJ5RZSYKNKBABVZ5,AZV2KQT9MRY05,H_0001
32SVAV9L3X5GSCGS9PDNYW4SB5B3AF,A361WGXXHRABJW,H_0001
