sample,method,score,low_ci,high_ci,rank,n_rankings
01_d85c3093011d4e03a0df7a4049b13816,spotex,0.327613,0.196419,0.538646,1,32
01_d85c3093011d4e03a0df7a4049b13816,goatex,0.226585,0.156486,0.293465,2,32
01_d85c3093011d4e03a0df7a4049b13816,mvadapter,0.148555,0.080821,0.232822,3,32
01_d85c3093011d4e03a0df7a4049b13816,TEXGen,0.071688,0.034675,0.113443,6,32
01_d85c3093011d4e03a0df7a4049b13816,paint3d,0.128630,0.066108,0.192181,4,32
01_d85c3093011d4e03a0df7a4049b13816,syncmvd,0.096928,0.047927,0.157422,5,32
02_16ee83e509e745998f229da44a8387e8,spotex,0.523856,0.360304,0.715035,1,64
02_16ee83e509e745998f229da44a8387e8,goatex,0.152180,0.088803,0.206624,2,64
02_16ee83e509e745998f229da44a8387e8,mvadapter,0.103608,0.057685,0.151059,3,64
02_16ee83e509e745998f229da44a8387e8,TEXGen,0.078328,0.043181,0.116806,5,64
02_16ee83e509e745998f229da44a8387e8,paint3d,0.048566,0.022277,0.081150,6,64
02_16ee83e509e745998f229da44a8387e8,syncmvd,0.093462,0.048561,0.140257,4,64
06_ce195c7adddb44d2bf963c526756362a,spotex,0.503074,0.315406,0.737312,1,32
06_ce195c7adddb44d2bf963c526756362a,goatex,0.126874,0.055523,0.201664,2,32
06_ce195c7adddb44d2bf963c526756362a,mvadapter,0.097158,0.044216,0.149283,5,32
06_ce195c7adddb44d2bf963c526756362a,TEXGen,0.102963,0.050977,0.153444,4,32
06_ce195c7adddb44d2bf963c526756362a,paint3d,0.053395,0.023686,0.094893,6,32
06_ce195c7adddb44d2bf963c526756362a,syncmvd,0.116536,0.055820,0.185794,3,32
27_0aa910f8ec974330a9a89a5c7cf4e3dd,spotex,0.417037,0.283035,0.600831,1,32
27_0aa910f8ec974330a9a89a5c7cf4e3dd,goatex,0.047576,0.018308,0.081001,6,32
27_0aa910f8ec974330a9a89a5c7cf4e3dd,mvadapter,0.260699,0.159273,0.384575,2,32
27_0aa910f8ec974330a9a89a5c7cf4e3dd,TEXGen,0.104078,0.044631,0.175030,3,32
27_0aa910f8ec974330a9a89a5c7cf4e3dd,paint3d,0.077609,0.028206,0.137414,5,32
27_0aa910f8ec974330a9a89a5c7cf4e3dd,syncmvd,0.093000,0.041721,0.139697,4,32
35_02797d5feaac4ccabfdf8b357fa2a13a,spotex,0.423017,0.256977,0.707041,1,32
35_02797d5feaac4ccabfdf8b357fa2a13a,goatex,0.102508,0.048077,0.158024,5,32
35_02797d5feaac4ccabfdf8b357fa2a13a,mvadapter,0.176297,0.081324,0.277713,2,32
35_02797d5feaac4ccabfdf8b357fa2a13a,TEXGen,0.089549,0.042981,0.131140,6,32
35_02797d5feaac4ccabfdf8b357fa2a13a,paint3d,0.105090,0.045554,0.168434,3,32
35_02797d5feaac4ccabfdf8b357fa2a13a,syncmvd,0.103539,0.046702,0.153126,4,32
45_1a6d42ef69294498937aab039ececb00,spotex,0.261997,0.144332,0.466825,1,32
45_1a6d42ef69294498937aab039ececb00,goatex,0.171830,0.110690,0.234821,3,32
45_1a6d42ef69294498937aab039ececb00,mvadapter,0.086608,0.047754,0.125541,6,32
45_1a6d42ef69294498937aab039ececb00,TEXGen,0.148035,0.091414,0.208685,4,32
45_1a6d42ef69294498937aab039ececb00,paint3d,0.229474,0.168806,0.285480,2,32
45_1a6d42ef69294498937aab039ececb00,syncmvd,0.102056,0.050674,0.174685,5,32
48_d53b232eab0048b48835c2caef28f44e,spotex,0.299438,0.214840,0.396591,1,32
48_d53b232eab0048b48835c2caef28f44e,goatex,0.161575,0.091178,0.249784,3,32
48_d53b232eab0048b48835c2caef28f44e,mvadapter,0.108957,0.055856,0.196811,5,32
48_d53b232eab0048b48835c2caef28f44e,TEXGen,0.157105,0.108027,0.207539,4,32
48_d53b232eab0048b48835c2caef28f44e,paint3d,0.082871,0.048333,0.124833,6,32
48_d53b232eab0048b48835c2caef28f44e,syncmvd,0.190054,0.130401,0.249789,2,32
54_120ac5f53bda4d1d9306a050a3b6e46b,spotex,0.227558,0.151025,0.319421,1,32
54_120ac5f53bda4d1d9306a050a3b6e46b,goatex,0.124735,0.082089,0.172150,4,32
54_120ac5f53bda4d1d9306a050a3b6e46b,mvadapter,0.209247,0.127335,0.348783,3,32
54_120ac5f53bda4d1d9306a050a3b6e46b,TEXGen,0.104390,0.068781,0.145251,6,32
54_120ac5f53bda4d1d9306a050a3b6e46b,paint3d,0.117404,0.065508,0.192258,5,32
54_120ac5f53bda4d1d9306a050a3b6e46b,syncmvd,0.216667,0.146425,0.288108,2,32
58_1d7b005b0cf241d9890739a549769c86,spotex,0.237057,0.102000,0.499565,2,32
58_1d7b005b0cf241d9890739a549769c86,goatex,0.298929,0.170054,0.455530,1,32
58_1d7b005b0cf241d9890739a549769c86,mvadapter,0.067135,0.036362,0.090963,5,32
58_1d7b005b0cf241d9890739a549769c86,TEXGen,0.176557,0.111082,0.226236,4,32
58_1d7b005b0cf241d9890739a549769c86,paint3d,0.037714,0.014574,0.061976,6,32
58_1d7b005b0cf241d9890739a549769c86,syncmvd,0.182608,0.106491,0.247571,3,32
