assignmentId,workerId,hitId,vigilanceScore,feedback
31JLPPHS2CQ5UGATJ8I5ZROX0MFO3Z,A1YLQJK3GNEVS4,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
39GAF6DQW9W4AX5BXGQ06Q38YVYV1G,AGHTLI8FGA4CR,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3JAOYWH7V00J3XWCNP3NYNNP59KL9W,A2VNIOI5GX51C6,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3CFVK00FW3HWLEUEPI0BEDWNF8CL6L,AQCK9RQ5UH587,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
345LHZDEDFO07LUQFUUEYXGMI83U3I,ASSD1YZ4T7335,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3ZAK8W07IMA4QTVTW7CVWZIFFWJ0UT,A2ATKVVP74NP3J,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3I2PTA7R3BQEBQVGJR285I0ZQ9JQKK,A2H4X7CXADPSMK,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
34S6N1K2ZDFCI3EVL1RFB4LDOMSLHM,A1DKFA464ALYU6,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
386PBUZZXXT8999L91U0NH1S1EWLJR,AZXUXFR96GBV,H_0001,0.60,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
33M4IA01QYXK7R9NVP6X02I6I40RXB,A2ZJNF0DT8V4EJ,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
