assignmentId,workerId,hitId
35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,A1KSOW6MF660CU,H_0001
3OS46CRSLXVZHJ683M2H1MUP6706VD,A352NZSNQPL73A,H_0001
3I3WADAZ98088VXXXR6YEOMHEJSO5D,A2X2T1K2R6K6W3,H_0001
39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,A24SNSQNVMG2MV,H_0001
3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,A1T3ZQLAB6VTMD,H_0001
3W8CV64QJKVHH1DMW4OP6VUIOTX9H1,A2E82CZGAYI325,H_0001
3EFVCAY5LL5DU2P2FCLWICFMHFJJ8R,A2500R0F1TR1P0,H_0001
3A0EX8ZRNQKMRPI84O69J1KB2PDBYC,A2EELIDU9CQJJG,H_0001
3CCZ6YKWRPF518TRV2NGHYRSJK695K,A3N4UIT4MH4CT1,H_0001
3570Y55XZ7FII6QJKAYNKCB8I25GYY,A3F8PXFV8BRHJS,H_0001
3X1FV8S5JFN1ECVEFZB3DD7E0L2VG3,A13EFW7ZB8TF34,H_0001
33F859I56O905USJUO2LX1P8CT0HBJ,AA7Z1QIEP8P0A,H_0001
3X87C8JFVO7CZ98OO0BAW4R974ISQR,APXK08LMHFHM8,H_0001
3JMSRU9HQ0Q3UYZN94LFDAM2N5NVEM,AV66R2WW4O79G,H_0001
3NXNZ5RS1STKOC7AJV2DFI5OAQ197Z,A1B9BKEEHVCRZJ,H_0001
32M8BPYGABIWS6BEGSCKYOHKSJ7GIS,A8D1KSLCDJ7GC,H_0001
3IAEQB9FMWGBHHLS3JFRTUNVU2PDWM,A32BS1YPT1S5FC,H_0001
3EF8EXOTTJRVJ25HGRCH32SE39DJ17,A11KMT9ZZAN18S,H_0001
3BQU611VF7GO2VV3YS0XTEWU5GP99B,A3TBD5N3Q3MK8C,H_0001
3SUWZRL0MG9IF8KM8WD71I636CXE6F,A2W3TCEVUFEMSD,H_0001
3HL8HNGX4NXX35MG1E0P3AI58EK9F3,A3TTCICTTIK9HC,H_0001
3K5TEWLKGD7FA3195NB6YPKUFYUVIV,AJWAJUWSKH1FO,H_0001
324G5B4FBL42SIJXJZJKM74V7M770L,AXKRJE5RQBQ7A,H_0001
3YGXWBAF7IDP3NWUTHEXEWMMP9E4CR,A1219OGWYAKFPU,H_0001
3IXQG4FA2BU7QOA0WCETKKRKTGS9BL,A3LKKK7NKMRFKN,H_0001
36PW28KO4HSJ2AWPY9UJHN8P2VOAE2,A15IB5Q6E3SIR8,H_0001
3GS6S824S8TK3TC5SDTUPZZP86RNWE,A2M7JZ2BOJQRH4,H_0001
320DUZ38GPISNHVKYAXKAPWK5YWGJ4,A2LYIIR4KI5WV9,H_0001
3LO69W1SUL9YI7JK1V9XQ49C9N1LGB,A15DVWEU995W1S,H_0001
