sample,method,score,low_ci,high_ci,rank,n_rankings
01_d85c3093011d4e03a0df7a4049b13816,spotex,0.081367,0.040894,0.140622,6,58
01_d85c3093011d4e03a0df7a4049b13816,goatex,0.207622,0.152445,0.263871,2,58
01_d85c3093011d4e03a0df7a4049b13816,mvadapter,0.296346,0.206724,0.420141,1,58
01_d85c3093011d4e03a0df7a4049b13816,TEXGen,0.102363,0.077410,0.123753,5,58
01_d85c3093011d4e03a0df7a4049b13816,paint3d,0.143593,0.104582,0.183010,4,58
01_d85c3093011d4e03a0df7a4049b13816,syncmvd,0.168709,0.134056,0.202093,3,58
02_16ee83e509e745998f229da44a8387e8,spotex,0.427773,0.366416,0.497502,1,116
02_16ee83e509e745998f229da44a8387e8,goatex,0.130034,0.105668,0.153452,3,116
02_16ee83e509e745998f229da44a8387e8,mvadapter,0.159533,0.129245,0.189509,2,116
02_16ee83e509e745998f229da44a8387e8,TEXGen,0.086753,0.065667,0.111756,5,116
02_16ee83e509e745998f229da44a8387e8,paint3d,0.113032,0.086660,0.143708,4,116
02_16ee83e509e745998f229da44a8387e8,syncmvd,0.082874,0.061652,0.109894,6,116
06_ce195c7adddb44d2bf963c526756362a,spotex,0.421633,0.291074,0.609788,1,58
06_ce195c7adddb44d2bf963c526756362a,goatex,0.141786,0.090664,0.188394,3,58
06_ce195c7adddb44d2bf963c526756362a,mvadapter,0.095334,0.055912,0.133809,4,58
06_ce195c7adddb44d2bf963c526756362a,TEXGen,0.164781,0.109667,0.208943,2,58
06_ce195c7adddb44d2bf963c526756362a,paint3d,0.086286,0.049722,0.128810,6,58
06_ce195c7adddb44d2bf963c526756362a,syncmvd,0.090180,0.053915,0.122631,5,58
27_0aa910f8ec974330a9a89a5c7cf4e3dd,spotex,0.687509,0.533955,0.859017,1,58
27_0aa910f8ec974330a9a89a5c7cf4e3dd,goatex,0.033811,0.012017,0.059508,6,58
27_0aa910f8ec974330a9a89a5c7cf4e3dd,mvadapter,0.111890,0.049338,0.174524,2,58
27_0aa910f8ec974330a9a89a5c7cf4e3dd,TEXGen,0.089296,0.036065,0.144126,3,58
27_0aa910f8ec974330a9a89a5c7cf4e3dd,paint3d,0.034724,0.010985,0.070736,5,58
27_0aa910f8ec974330a9a89a5c7cf4e3dd,syncmvd,0.042770,0.016364,0.072154,4,58
35_02797d5feaac4ccabfdf8b357fa2a13a,spotex,0.535147,0.395018,0.703997,1,58
35_02797d5feaac4ccabfdf8b357fa2a13a,goatex,0.128943,0.070654,0.196708,2,58
35_02797d5feaac4ccabfdf8b357fa2a13a,mvadapter,0.095152,0.051588,0.149003,4,58
35_02797d5feaac4ccabfdf8b357fa2a13a,TEXGen,0.089723,0.050856,0.125960,5,58
35_02797d5feaac4ccabfdf8b357fa2a13a,paint3d,0.038663,0.019565,0.058990,6,58
35_02797d5feaac4ccabfdf8b357fa2a13a,syncmvd,0.112373,0.066566,0.153965,3,58
45_1a6d42ef69294498937aab039ececb00,spotex,0.448903,0.277049,0.703184,1,58
45_1a6d42ef69294498937aab039ececb00,goatex,0.150864,0.087366,0.191743,2,58
45_1a6d42ef69294498937aab039ececb00,mvadapter,0.105856,0.053531,0.156738,4,58
45_1a6d42ef69294498937aab039ececb00,TEXGen,0.110835,0.054841,0.157020,3,58
45_1a6d42ef69294498937aab039ececb00,paint3d,0.082355,0.038541,0.125920,6,58
45_1a6d42ef69294498937aab039ececb00,syncmvd,0.101188,0.050613,0.147701,5,58
48_d53b232eab0048b48835c2caef28f44e,spotex,0.168404,0.105933,0.231967,3,58
48_d53b232eab0048b48835c2caef28f44e,goatex,0.338920,0.250448,0.461443,1,58
48_d53b232eab0048b48835c2caef28f44e,mvadapter,0.062331,0.040645,0.082602,6,58
48_d53b232eab0048b48835c2caef28f44e,TEXGen,0.152205,0.116579,0.191588,4,58
48_d53b232eab0048b48835c2caef28f44e,paint3d,0.081348,0.046451,0.120733,5,58
48_d53b232eab0048b48835c2caef28f44e,syncmvd,0.196792,0.151484,0.240164,2,58
54_120ac5f53bda4d1d9306a050a3b6e46b,spotex,0.271655,0.205384,0.349668,1,58
54_120ac5f53bda4d1d9306a050a3b6e46b,goatex,0.140663,0.105212,0.177709,5,58
54_120ac5f53bda4d1d9306a050a3b6e46b,mvadapter,0.162878,0.113782,0.225517,3,58
54_120ac5f53bda4d1d9306a050a3b6e46b,TEXGen,0.155636,0.113454,0.209517,4,58
54_120ac5f53bda4d1d9306a050a3b6e46b,paint3d,0.046360,0.026888,0.068360,6,58
54_120ac5f53bda4d1d9306a050a3b6e46b,syncmvd,0.222807,0.170865,0.278797,2,58
58_1d7b005b0cf241d9890739a549769c86,spotex,0.156990,0.098002,0.242181,3,58
58_1d7b005b0cf241d9890739a549769c86,goatex,0.389441,0.316799,0.470358,1,58
58_1d7b005b0cf241d9890739a549769c86,mvadapter,0.090097,0.061436,0.125954,5,58
58_1d7b005b0cf241d9890739a549769c86,TEXGen,0.172138,0.142222,0.200552,2,58
58_1d7b005b0cf241d9890739a549769c86,paint3d,0.047092,0.031658,0.062834,6,58
58_1d7b005b0cf241d9890739a549769c86,syncmvd,0.144242,0.106125,0.191001,4,58
