sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
01_d85c3093011d4e03a0df7a4049b13816,main,mvadapter,goatex,spotex,syncmvd,TEXGen,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,1
06_ce195c7adddb44d2bf963c526756362a,main,paint3d,spotex,goatex,TEXGen,syncmvd,mvadapter,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,goatex,syncmvd,TEXGen,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,4
02_16ee83e509e745998f229da44a8387e8,main,TEXGen,syncmvd,goatex,mvadapter,paint3d,spotex,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,5
58_1d7b005b0cf241d9890739a549769c86,main,goatex,syncmvd,TEXGen,mvadapter,spotex,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,7
02_16ee83e509e745998f229da44a8387e8,main,TEXGen,syncmvd,paint3d,goatex,mvadapter,spotex,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,8
45_1a6d42ef69294498937aab039ececb00,main,spotex,paint3d,mvadapter,TEXGen,goatex,syncmvd,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,10
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,TEXGen,spotex,mvadapter,goatex,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,TEXGen,paint3d,syncmvd,goatex,spotex,mvadapter,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,12
58_1d7b005b0cf241d9890739a549769c86,main,goatex,TEXGen,syncmvd,spotex,mvadapter,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,syncmvd,spotex,goatex,TEXGen,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,14
48_d53b232eab0048b48835c2caef28f44e,main,spotex,goatex,TEXGen,paint3d,syncmvd,mvadapter,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,15
01_d85c3093011d4e03a0df7a4049b13816,main,mvadapter,syncmvd,paint3d,spotex,goatex,TEXGen,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,16
06_ce195c7adddb44d2bf963c526756362a,main,paint3d,syncmvd,TEXGen,mvadapter,goatex,spotex,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,goatex,TEXGen,paint3d,syncmvd,spotex,mvadapter,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,18
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,TEXGen,goatex,spotex,mvadapter,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,goatex,syncmvd,TEXGen,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,mvadapter,paint3d,spotex,goatex,syncmvd,TEXGen,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,TEXGen,syncmvd,goatex,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,23
48_d53b232eab0048b48835c2caef28f44e,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A1KSOW6MF660CU,H_0001,35L9RVQFC6EF1T1PUFJG2RHW1E7HU0,24
01_d85c3093011d4e03a0df7a4049b13816,main,spotex,goatex,mvadapter,syncmvd,TEXGen,paint3d,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,mvadapter,goatex,TEXGen,syncmvd,paint3d,A352NZSNQPL73A,H_0001,3OS46CRSLXVZHJ683M2H1MUP6706VD,2
