assignmentId,workerId,hitId,vigilanceScore,feedback
3VW04L3ZLB244NVZ4OCPPK4UJM7XX1,AS6LB8GAE0RPH,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3OVHNO1VEOXFBCQXE6ZYSYHDB4TDZC,A35J2QIFQRINYR,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3YMU66OBI54WWB0UAAUZYCG5S6SHG0,A1O7601ZQOQYI5,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
38YMOXR4MCVCW86DTW7DNOD3DG26WN,A9O1U0B4GS6UR,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3VSOLARPKT52NT6NHJZN21T85OG39P,APC10JTM08IQ8,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3OSWBBLG1WTQ6HQIDOBDVD1234VDXF,A3FW3VEWJLM1UF,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3E4GGUZ1TQNXJ7TVHGC7902WA4RK2O,A11ZSF5FRY0BHU,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
354GIDR5ZT2OA7JDY0YB7SU8Z8200F,A2PWD3A43C75CX,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
31IBVUNM9AVV0CZJ4F5LVS72Z62VF4,A1ARDA4ZUAS8Q4,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3LO69W1SUL9YI7JK1V9XQ49C9N1GL6,AZQDFOSHAGKET,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
