sample,method,score,low_ci,high_ci,rank,n_rankings
01_d85c3093011d4e03a0df7a4049b13816,spotex,0.137085,0.089017,0.203324,5,90
01_d85c3093011d4e03a0df7a4049b13816,goatex,0.225756,0.181417,0.269282,2,90
01_d85c3093011d4e03a0df7a4049b13816,mvadapter,0.236986,0.177672,0.313514,1,90
01_d85c3093011d4e03a0df7a4049b13816,TEXGen,0.102338,0.082954,0.119305,6,90
01_d85c3093011d4e03a0df7a4049b13816,paint3d,0.147547,0.114522,0.185202,4,90
01_d85c3093011d4e03a0df7a4049b13816,syncmvd,0.150287,0.117949,0.179032,3,90
02_16ee83e509e745998f229da44a8387e8,spotex,0.456548,0.386857,0.531086,1,180
02_16ee83e509e745998f229da44a8387e8,goatex,0.139661,0.116517,0.165274,3,180
02_16ee83e509e745998f229da44a8387e8,mvadapter,0.140796,0.118078,0.167297,2,180
02_16ee83e509e745998f229da44a8387e8,TEXGen,0.087299,0.068921,0.107173,5,180
02_16ee83e509e745998f229da44a8387e8,paint3d,0.084821,0.064034,0.104976,6,180
02_16ee83e509e745998f229da44a8387e8,syncmvd,0.090876,0.071069,0.112327,4,180
06_ce195c7adddb44d2bf963c526756362a,spotex,0.449646,0.340223,0.592214,1,90
06_ce195c7adddb44d2bf963c526756362a,goatex,0.138048,0.099444,0.177409,3,90
06_ce195c7adddb44d2bf963c526756362a,mvadapter,0.098269,0.066401,0.129491,5,90
06_ce195c7adddb44d2bf963c526756362a,TEXGen,0.140122,0.100878,0.174395,2,90
06_ce195c7adddb44d2bf963c526756362a,paint3d,0.073910,0.048114,0.102999,6,90
06_ce195c7adddb44d2bf963c526756362a,syncmvd,0.100006,0.069647,0.129630,4,90
27_0aa910f8ec974330a9a89a5c7cf4e3dd,spotex,0.569736,0.459523,0.711147,1,90
27_0aa910f8ec974330a9a89a5c7cf4e3dd,goatex,0.043305,0.024209,0.062856,6,90
27_0aa910f8ec974330a9a89a5c7cf4e3dd,mvadapter,0.166543,0.110463,0.220303,2,90
27_0aa910f8ec974330a9a89a5c7cf4e3dd,TEXGen,0.104296,0.062247,0.147728,3,90
27_0aa910f8ec974330a9a89a5c7cf4e3dd,paint3d,0.052745,0.027191,0.081024,5,90
27_0aa910f8ec974330a9a89a5c7cf4e3dd,syncmvd,0.063376,0.035463,0.090754,4,90
35_02797d5feaac4ccabfdf8b357fa2a13a,spotex,0.497314,0.383098,0.623948,1,90
35_02797d5feaac4ccabfdf8b357fa2a13a,goatex,0.120218,0.079308,0.164675,3,90
35_02797d5feaac4ccabfdf8b357fa2a13a,mvadapter,0.121668,0.080610,0.165443,2,90
35_02797d5feaac4ccabfdf8b357fa2a13a,TEXGen,0.092323,0.065123,0.121794,5,90
35_02797d5feaac4ccabfdf8b357fa2a13a,paint3d,0.057037,0.036348,0.080027,6,90
35_02797d5feaac4ccabfdf8b357fa2a13a,syncmvd,0.111440,0.077397,0.144302,4,90
45_1a6d42ef69294498937aab039ececb00,spotex,0.366324,0.261841,0.504580,1,90
45_1a6d42ef69294498937aab039ececb00,goatex,0.163651,0.124803,0.195200,2,90
45_1a6d42ef69294498937aab039ececb00,mvadapter,0.107519,0.076534,0.139292,6,90
45_1a6d42ef69294498937aab039ececb00,TEXGen,0.129505,0.093446,0.161890,3,90
45_1a6d42ef69294498937aab039ececb00,paint3d,0.124379,0.086395,0.165735,4,90
45_1a6d42ef69294498937aab039ececb00,syncmvd,0.108623,0.074228,0.146942,5,90
48_d53b232eab0048b48835c2caef28f44e,spotex,0.213233,0.159452,0.274676,2,90
48_d53b232eab0048b48835c2caef28f44e,goatex,0.260691,0.201054,0.337254,1,90
48_d53b232eab0048b48835c2caef28f44e,mvadapter,0.076549,0.053633,0.103765,6,90
48_d53b232eab0048b48835c2caef28f44e,TEXGen,0.160620,0.129678,0.187764,4,90
48_d53b232eab0048b48835c2caef28f44e,paint3d,0.087127,0.061946,0.117750,5,90
48_d53b232eab0048b48835c2caef28f44e,syncmvd,0.201780,0.166715,0.234914,3,90
54_120ac5f53bda4d1d9306a050a3b6e46b,spotex,0.257232,0.204404,0.318147,1,90
54_120ac5f53bda4d1d9306a050a3b6e46b,goatex,0.138383,0.110873,0.163568,4,90
54_120ac5f53bda4d1d9306a050a3b6e46b,mvadapter,0.179666,0.133579,0.240383,3,90
54_120ac5f53bda4d1d9306a050a3b6e46b,TEXGen,0.135210,0.107955,0.168652,5,90
54_120ac5f53bda4d1d9306a050a3b6e46b,paint3d,0.066243,0.046119,0.089916,6,90
54_120ac5f53bda4d1d9306a050a3b6e46b,syncmvd,0.223265,0.180904,0.268197,2,90
58_1d7b005b0cf241d9890739a549769c86,spotex,0.180313,0.119242,0.258027,2,90
58_1d7b005b0cf241d9890739a549769c86,goatex,0.358233,0.291638,0.441990,1,90
58_1d7b005b0cf241d9890739a549769c86,mvadapter,0.081540,0.061154,0.103204,5,90
58_1d7b005b0cf241d9890739a549769c86,TEXGen,0.176223,0.150210,0.202132,3,90
58_1d7b005b0cf241d9890739a549769c86,paint3d,0.044544,0.031787,0.057380,6,90
58_1d7b005b0cf241d9890739a549769c86,syncmvd,0.159147,0.123637,0.195441,4,90
