sample,method,score,low_ci,high_ci,rank,n_rankings
01_0aa910f8ec974330a9a89a5c7cf4e3dd,spotex,0.622512,0.014561,0.985265,1,2
01_0aa910f8ec974330a9a89a5c7cf4e3dd,goatex,0.064846,0.000000,0.064846,4,2
01_0aa910f8ec974330a9a89a5c7cf4e3dd,mvadapter,0.157134,0.000002,0.985265,2,2
01_0aa910f8ec974330a9a89a5c7cf4e3dd,TEXGen,0.020875,0.000000,0.020875,5,2
01_0aa910f8ec974330a9a89a5c7cf4e3dd,paint3d,0.119120,0.000002,0.119120,3,2
01_0aa910f8ec974330a9a89a5c7cf4e3dd,syncmvd,0.015514,0.000000,0.015514,6,2
02_16ee83e509e745998f229da44a8387e8,spotex,0.450512,0.014561,0.450512,1,2
02_16ee83e509e745998f229da44a8387e8,goatex,0.088278,0.000000,0.088278,4,2
02_16ee83e509e745998f229da44a8387e8,mvadapter,0.051162,0.000000,0.985265,5,2
02_16ee83e509e745998f229da44a8387e8,TEXGen,0.103506,0.000000,0.103506,3,2
02_16ee83e509e745998f229da44a8387e8,paint3d,0.040332,0.000000,0.040332,6,2
02_16ee83e509e745998f229da44a8387e8,syncmvd,0.266211,0.000002,0.985265,2,2
02_9176a3219f494f779ca8ea08407c4c64,spotex,0.498007,0.014561,0.985265,1,2
02_9176a3219f494f779ca8ea08407c4c64,goatex,0.498007,0.014561,0.985265,2,2
02_9176a3219f494f779ca8ea08407c4c64,mvadapter,0.000008,0.000000,0.000008,5,2
02_9176a3219f494f779ca8ea08407c4c64,TEXGen,0.000006,0.000000,0.000006,6,2
02_9176a3219f494f779ca8ea08407c4c64,paint3d,0.000022,0.000000,0.000022,4,2
02_9176a3219f494f779ca8ea08407c4c64,syncmvd,0.003951,0.000173,0.003951,3,2
04_ce195c7adddb44d2bf963c526756362a,spotex,0.985265,0.985265,0.985265,1,2
04_ce195c7adddb44d2bf963c526756362a,goatex,0.000001,0.000000,0.000001,4,2
04_ce195c7adddb44d2bf963c526756362a,mvadapter,0.000000,0.000000,0.000002,5,2
04_ce195c7adddb44d2bf963c526756362a,TEXGen,0.000000,0.000000,0.000002,6,2
04_ce195c7adddb44d2bf963c526756362a,paint3d,0.000173,0.000173,0.000173,3,2
04_ce195c7adddb44d2bf963c526756362a,syncmvd,0.014561,0.014561,0.014561,2,2
06_ce195c7adddb44d2bf963c526756362a,spotex,0.260483,0.000173,0.260483,2,2
06_ce195c7adddb44d2bf963c526756362a,goatex,0.025376,0.000000,0.025376,6,2
06_ce195c7adddb44d2bf963c526756362a,mvadapter,0.197971,0.000002,0.197971,3,2
06_ce195c7adddb44d2bf963c526756362a,TEXGen,0.447671,0.000173,0.985265,1,2
06_ce195c7adddb44d2bf963c526756362a,paint3d,0.031516,0.000000,0.985265,5,2
06_ce195c7adddb44d2bf963c526756362a,syncmvd,0.036982,0.000000,0.036982,4,2
07_ce195c7adddb44d2bf963c526756362a,spotex,0.583231,0.014561,0.985265,1,2
07_ce195c7adddb44d2bf963c526756362a,goatex,0.026546,0.000000,0.026546,4,2
07_ce195c7adddb44d2bf963c526756362a,mvadapter,0.023469,0.000000,0.023469,5,2
07_ce195c7adddb44d2bf963c526756362a,TEXGen,0.057540,0.000002,0.057540,3,2
07_ce195c7adddb44d2bf963c526756362a,paint3d,0.021739,0.000000,0.021739,6,2
07_ce195c7adddb44d2bf963c526756362a,syncmvd,0.287475,0.000173,0.985265,2,2
08_0ad7aecfcb874fceaa38a98436991c03,spotex,0.655614,0.014561,0.985265,1,2
08_0ad7aecfcb874fceaa38a98436991c03,goatex,0.023177,0.000000,0.985265,5,2
08_0ad7aecfcb874fceaa38a98436991c03,mvadapter,0.221006,0.000173,0.221006,2,2
08_0ad7aecfcb874fceaa38a98436991c03,TEXGen,0.020536,0.000000,0.020536,6,2
08_0ad7aecfcb874fceaa38a98436991c03,paint3d,0.025281,0.000000,0.025281,4,2
08_0ad7aecfcb874fceaa38a98436991c03,syncmvd,0.054385,0.000002,0.054385,3,2
09_0ae3255707854840b7f7023ed93cc7ec,spotex,0.405203,0.000173,0.985265,2,2
09_0ae3255707854840b7f7023ed93cc7ec,goatex,0.000067,0.000000,0.000067,6,2
09_0ae3255707854840b7f7023ed93cc7ec,mvadapter,0.421163,0.014561,0.421163,1,2
09_0ae3255707854840b7f7023ed93cc7ec,TEXGen,0.029968,0.000000,0.029968,5,2
09_0ae3255707854840b7f7023ed93cc7ec,paint3d,0.099849,0.000002,0.099849,3,2
09_0ae3255707854840b7f7023ed93cc7ec,syncmvd,0.043749,0.000000,0.985265,4,2
24_0aa910f8ec974330a9a89a5c7cf4e3dd,spotex,0.008737,0.000173,0.014561,2,2
24_0aa910f8ec974330a9a89a5c7cf4e3dd,goatex,0.003844,0.000002,0.014561,3,2
24_0aa910f8ec974330a9a89a5c7cf4e3dd,mvadapter,0.001395,0.000000,0.001395,4,2
24_0aa910f8ec974330a9a89a5c7cf4e3dd,TEXGen,0.000338,0.000000,0.000338,6,2
24_0aa910f8ec974330a9a89a5c7cf4e3dd,paint3d,0.000420,0.000000,0.000420,5,2
24_0aa910f8ec974330a9a89a5c7cf4e3dd,syncmvd,0.985265,0.985265,0.985265,1,2
32_0aa910f8ec974330a9a89a5c7cf4e3dd,spotex,0.636294,0.014561,0.985265,1,2
32_0aa910f8ec974330a9a89a5c7cf4e3dd,goatex,0.104448,0.000002,0.985265,3,2
32_0aa910f8ec974330a9a89a5c7cf4e3dd,mvadapter,0.034661,0.000000,0.034661,4,2
32_0aa910f8ec974330a9a89a5c7cf4e3dd,TEXGen,0.205548,0.000173,0.205548,2,2
32_0aa910f8ec974330a9a89a5c7cf4e3dd,paint3d,0.008492,0.000000,0.008492,6,2
32_0aa910f8ec974330a9a89a5c7cf4e3dd,syncmvd,0.010556,0.000000,0.010556,5,2
34_02797d5feaac4ccabfdf8b357fa2a13a,spotex,0.258661,0.000173,0.985265,2,2
34_02797d5feaac4ccabfdf8b357fa2a13a,goatex,0.592630,0.014561,0.985265,1,2
34_02797d5feaac4ccabfdf8b357fa2a13a,mvadapter,0.008212,0.000000,0.008212,6,2
34_02797d5feaac4ccabfdf8b357fa2a13a,TEXGen,0.101049,0.000002,0.101049,3,2
34_02797d5feaac4ccabfdf8b357fa2a13a,paint3d,0.011487,0.000000,0.011487,5,2
34_02797d5feaac4ccabfdf8b357fa2a13a,syncmvd,0.027961,0.000000,0.027961,4,2
35_02797d5feaac4ccabfdf8b357fa2a13a,spotex,0.985265,0.985265,0.985265,1,2
35_02797d5feaac4ccabfdf8b357fa2a13a,goatex,0.009611,0.000173,0.014561,2,2
35_02797d5feaac4ccabfdf8b357fa2a13a,mvadapter,0.000641,0.000000,0.014561,5,2
35_02797d5feaac4ccabfdf8b357fa2a13a,TEXGen,0.001904,0.000000,0.001904,4,2
35_02797d5feaac4ccabfdf8b357fa2a13a,paint3d,0.000439,0.000000,0.000439,6,2
35_02797d5feaac4ccabfdf8b357fa2a13a,syncmvd,0.002140,0.000002,0.002140,3,2
36_02797d5feaac4ccabfdf8b357fa2a13a,spotex,0.144425,0.000173,0.144425,2,2
36_02797d5feaac4ccabfdf8b357fa2a13a,goatex,0.024684,0.000000,0.024684,4,2
36_02797d5feaac4ccabfdf8b357fa2a13a,mvadapter,0.021177,0.000000,0.985265,5,2
36_02797d5feaac4ccabfdf8b357fa2a13a,TEXGen,0.136734,0.000002,0.136734,3,2
36_02797d5feaac4ccabfdf8b357fa2a13a,paint3d,0.656063,0.014561,0.985265,1,2
36_02797d5feaac4ccabfdf8b357fa2a13a,syncmvd,0.016918,0.000000,0.016918,6,2
42_16ee83e509e745998f229da44a8387e8,spotex,0.421077,0.000173,0.985265,1,2
42_16ee83e509e745998f229da44a8387e8,goatex,0.057202,0.000000,0.057202,6,2
42_16ee83e509e745998f229da44a8387e8,mvadapter,0.130632,0.000000,0.130632,3,2
42_16ee83e509e745998f229da44a8387e8,TEXGen,0.094579,0.000000,0.094579,4,2
42_16ee83e509e745998f229da44a8387e8,paint3d,0.061918,0.000000,0.061918,5,2
42_16ee83e509e745998f229da44a8387e8,syncmvd,0.234592,0.000002,0.985265,2,2
45_1a6d42ef69294498937aab039ececb00,spotex,0.637151,0.014561,0.985265,1,2
45_1a6d42ef69294498937aab039ececb00,goatex,0.101033,0.000000,0.985265,3,2
45_1a6d42ef69294498937aab039ececb00,mvadapter,0.042440,0.000000,0.042440,5,2
45_1a6d42ef69294498937aab039ececb00,TEXGen,0.040586,0.000000,0.040586,6,2
45_1a6d42ef69294498937aab039ececb00,paint3d,0.115519,0.000002,0.115519,2,2
45_1a6d42ef69294498937aab039ececb00,syncmvd,0.063270,0.000000,0.063270,4,2
49_925899c3be924547bb4a683751f8595c,spotex,0.985265,0.985265,0.985265,1,2
49_925899c3be924547bb4a683751f8595c,goatex,0.000011,0.000000,0.000011,6,2
49_925899c3be924547bb4a683751f8595c,mvadapter,0.000103,0.000002,0.000173,3,2
49_925899c3be924547bb4a683751f8595c,TEXGen,0.014561,0.014561,0.014561,2,2
49_925899c3be924547bb4a683751f8595c,paint3d,0.000014,0.000000,0.000014,5,2
49_925899c3be924547bb4a683751f8595c,syncmvd,0.000047,0.000000,0.000173,4,2
51_925899c3be924547bb4a683751f8595c,spotex,0.985265,0.985265,0.985265,1,2
51_925899c3be924547bb4a683751f8595c,goatex,0.001377,0.000000,0.014561,5,2
51_925899c3be924547bb4a683751f8595c,mvadapter,0.001273,0.000000,0.001273,6,2
51_925899c3be924547bb4a683751f8595c,TEXGen,0.006213,0.000002,0.014561,2,2
51_925899c3be924547bb4a683751f8595c,paint3d,0.004287,0.000002,0.004287,3,2
51_925899c3be924547bb4a683751f8595c,syncmvd,0.001585,0.000000,0.001585,4,2
55_1d7b005b0cf241d9890739a549769c86,spotex,0.585322,0.014561,0.985265,1,2
55_1d7b005b0cf241d9890739a549769c86,goatex,0.053637,0.000002,0.053637,3,2
55_1d7b005b0cf241d9890739a549769c86,mvadapter,0.281183,0.000173,0.985265,2,2
55_1d7b005b0cf241d9890739a549769c86,TEXGen,0.000068,0.000000,0.000068,6,2
55_1d7b005b0cf241d9890739a549769c86,paint3d,0.042465,0.000000,0.042465,4,2
55_1d7b005b0cf241d9890739a549769c86,syncmvd,0.037325,0.000000,0.037325,5,2
57_1d7b005b0cf241d9890739a549769c86,spotex,0.014561,0.014561,0.014561,2,2
57_1d7b005b0cf241d9890739a549769c86,goatex,0.985265,0.985265,0.985265,1,2
57_1d7b005b0cf241d9890739a549769c86,mvadapter,0.000112,0.000002,0.000173,3,2
57_1d7b005b0cf241d9890739a549769c86,TEXGen,0.000011,0.000000,0.000011,6,2
57_1d7b005b0cf241d9890739a549769c86,paint3d,0.000015,0.000000,0.000173,5,2
57_1d7b005b0cf241d9890739a549769c86,syncmvd,0.000036,0.000000,0.000036,4,2
59_1d7b005b0cf241d9890739a549769c86,spotex,0.371634,0.000173,0.985265,1,2
59_1d7b005b0cf241d9890739a549769c86,goatex,0.062279,0.000000,0.062279,4,2
59_1d7b005b0cf241d9890739a549769c86,mvadapter,0.300554,0.000173,0.300554,2,2
59_1d7b005b0cf241d9890739a549769c86,TEXGen,0.218997,0.000002,0.985265,3,2
59_1d7b005b0cf241d9890739a549769c86,paint3d,0.046435,0.000000,0.046435,5,2
59_1d7b005b0cf241d9890739a549769c86,syncmvd,0.000101,0.000000,0.000101,6,2
