sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
01_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,paint3d,TEXGen,mvadapter,goatex,syncmvd,W_SYNTH_001,H_0001,A_SYNTH_001,1
01_0aa910f8ec974330a9a89a5c7cf4e3dd,main,mvadapter,spotex,goatex,paint3d,syncmvd,TEXGen,W_SYNTH_002,H_0001,A_SYNTH_002,1
42_16ee83e509e745998f229da44a8387e8,main,spotex,mvadapter,goatex,syncmvd,TEXGen,paint3d,W_SYNTH_001,H_0001,A_SYNTH_001,3
42_16ee83e509e745998f229da44a8387e8,main,syncmvd,paint3d,spotex,TEXGen,mvadapter,goatex,W_SYNTH_002,H_0001,A_SYNTH_002,3
51_925899c3be924547bb4a683751f8595c,main,spotex,TEXGen,mvadapter,paint3d,syncmvd,goatex,W_SYNTH_001,H_0001,A_SYNTH_001,4
51_925899c3be924547bb4a683751f8595c,main,spotex,goatex,paint3d,TEXGen,syncmvd,mvadapter,W_SYNTH_002,H_0001,A_SYNTH_002,4
57_1d7b005b0cf241d9890739a549769c86,main,goatex,spotex,mvadapter,syncmvd,TEXGen,paint3d,W_SYNTH_001,H_0001,A_SYNTH_001,5
57_1d7b005b0cf241d9890739a549769c86,main,goatex,spotex,paint3d,mvadapter,syncmvd,TEXGen,W_SYNTH_002,H_0001,A_SYNTH_002,5
08_0ad7aecfcb874fceaa38a98436991c03,main,goatex,spotex,mvadapter,syncmvd,paint3d,TEXGen,W_SYNTH_001,H_0001,A_SYNTH_001,6
08_0ad7aecfcb874fceaa38a98436991c03,main,spotex,mvadapter,TEXGen,syncmvd,paint3d,goatex,W_SYNTH_002,H_0001,A_SYNTH_002,6
45_1a6d42ef69294498937aab039ececb00,main,spotex,mvadapter,paint3d,syncmvd,goatex,TEXGen,W_SYNTH_001,H_0001,A_SYNTH_001,7
45_1a6d42ef69294498937aab039ececb00,main,goatex,spotex,TEXGen,paint3d,syncmvd,mvadapter,W_SYNTH_002,H_0001,A_SYNTH_002,7
55_1d7b005b0cf241d9890739a549769c86,main,spotex,paint3d,mvadapter,goatex,syncmvd,TEXGen,W_SYNTH_001,H_0001,A_SYNTH_001,8
55_1d7b005b0cf241d9890739a549769c86,main,mvadapter,spotex,syncmvd,goatex,paint3d,TEXGen,W_SYNTH_002,H_0001,A_SYNTH_002,8
24_0aa910f8ec974330a9a89a5c7cf4e3dd,main,syncmvd,goatex,spotex,paint3d,mvadapter,TEXGen,W_SYNTH_001,H_0001,A_SYNTH_001,10
24_0aa910f8ec974330a9a89a5c7cf4e3dd,main,syncmvd,spotex,mvadapter,goatex,TEXGen,paint3d,W_SYNTH_002,H_0001,A_SYNTH_002,10
36_02797d5feaac4ccabfdf8b357fa2a13a,main,mvadapter,paint3d,spotex,TEXGen,goatex,syncmvd,W_SYNTH_001,H_0001,A_SYNTH_001,11
36_02797d5feaac4ccabfdf8b357fa2a13a,main,paint3d,TEXGen,spotex,syncmvd,goatex,mvadapter,W_SYNTH_002,H_0001,A_SYNTH_002,11
07_ce195c7adddb44d2bf963c526756362a,main,syncmvd,spotex,paint3d,TEXGen,goatex,mvadapter,W_SYNTH_001,H_0001,A_SYNTH_001,13
07_ce195c7adddb44d2bf963c526756362a,main,spotex,mvadapter,syncmvd,TEXGen,goatex,paint3d,W_SYNTH_002,H_0001,A_SYNTH_002,13
02_9176a3219f494f779ca8ea08407c4c64,main,goatex,spotex,syncmvd,paint3d,TEXGen,mvadapter,W_SYNTH_001,H_0001,A_SYNTH_001,14
02_9176a3219f494f779ca8ea08407c4c64,main,spotex,goatex,syncmvd,mvadapter,paint3d,TEXGen,W_SYNTH_002,H_0001,A_SYNTH_002,14
49_925899c3be924547bb4a683751f8595c,main,spotex,TEXGen,syncmvd,mvadapter,goatex,paint3d,W_SYNTH_001,H_0001,A_SYNTH_001,15
49_925899c3be924547bb4a683751f8595c,main,spotex,TEXGen,mvadapter,paint3d,syncmvd,goatex,W_SYNTH_002,H_0001,A_SYNTH_002,15
06_ce195c7adddb44d2bf963c526756362a,main,paint3d,spotex,TEXGen,mvadapter,syncmvd,goatex,W_SYNTH_001,H_0001,A_SYNTH_001,16
06_ce195c7adddb44d2bf963c526756362a,main,TEXGen,mvadapter,spotex,goatex,syncmvd,paint3d,W_SYNTH_002,H_0001,A_SYNTH_002,16
04_ce195c7adddb44d2bf963c526756362a,main,spotex,syncmvd,paint3d,mvadapter,goatex,TEXGen,W_SYNTH_001,H_0001,A_SYNTH_001,17
04_ce195c7adddb44d2bf963c526756362a,main,spotex,syncmvd,paint3d,TEXGen,goatex,mvadapter,W_SYNTH_002,H_0001,A_SYNTH_002,17
32_0aa910f8ec974330a9a89a5c7cf4e3dd,main,goatex,spotex,TEXGen,syncmvd,mvadapter,paint3d,W_SYNTH_001,H_0001,A_SYNTH_001,18
32_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,TEXGen,mvadapter,goatex,paint3d,syncmvd,W_SYNTH_002,H_0001,A_SYNTH_002,18
59_1d7b005b0cf241d9890739a549769c86,main,TEXGen,mvadapter,spotex,paint3d,goatex,syncmvd,W_SYNTH_001,H_0001,A_SYNTH_001,19
59_1d7b005b0cf241d9890739a549769c86,main,spotex,goatex,mvadapter,TEXGen,paint3d,syncmvd,W_SYNTH_002,H_0001,A_SYNTH_002,19
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,goatex,syncmvd,TEXGen,paint3d,W_SYNTH_001,H_0001,A_SYNTH_001,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,goatex,TEXGen,syncmvd,paint3d,mvadapter,W_SYNTH_002,H_0001,A_SYNTH_002,20
02_16ee83e509e745998f229da44a8387e8,main,syncmvd,spotex,TEXGen,paint3d,goatex,mvadapter,W_SYNTH_001,H_0001,A_SYNTH_001,21
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,goatex,syncmvd,TEXGen,paint3d,W_SYNTH_002,H_0001,A_SYNTH_002,21
09_0ae3255707854840b7f7023ed93cc7ec,main,spotex,mvadapter,paint3d,TEXGen,syncmvd,goatex,W_SYNTH_001,H_0001,A_SYNTH_001,23
09_0ae3255707854840b7f7023ed93cc7ec,main,syncmvd,mvadapter,spotex,paint3d,TEXGen,goatex,W_SYNTH_002,H_0001,A_SYNTH_002,23
34_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,goatex,paint3d,TEXGen,syncmvd,mvadapter,W_SYNTH_001,H_0001,A_SYNTH_001,24
34_02797d5feaac4ccabfdf8b357fa2a13a,main,goatex,TEXGen,spotex,syncmvd,mvadapter,paint3d,W_SYNTH_002,H_0001,A_SYNTH_002,24
