HITId,RequesterAnnotation,WorkerId,AssignmentId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,Answer.workerId,Answer.hitId,Answer.rank1,Answer.rank2,Answer.rank3,Answer.rank4,Answer.rank5,Answer.rank6,Answer.rank7,Answer.rank8,Answer.rank9,Answer.rank10,Answer.rank11,Answer.rank12,Answer.rank13,Answer.rank14,Answer.rank15,Answer.rank16,Answer.rank17,Answer.rank18,Answer.rank19,Answer.rank20,Answer.rank21,Answer.rank22,Answer.rank23,Answer.rank24,Answer.rank25
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1YLQJK3GNEVS4,31JLPPHS2CQ5UGATJ8I5ZROX0MFO3Z,Submitted,2026-05-11T22:58:20+09:00,2026-05-11T23:06:48+09:00,2026-05-14T23:06:48+09:00,A1YLQJK3GNEVS4,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AGHTLI8FGA4CR,39GAF6DQW9W4AX5BXGQ06Q38YVYV1G,Submitted,2026-05-11T22:58:32+09:00,2026-05-11T23:10:10+09:00,2026-05-14T23:10:10+09:00,AGHTLI8FGA4CR,H_0001,ADCEBF,DABCEF,BACEDF,ABCDEF,ADBCEF,ABCFDE,ABDCEF,FABCDE,ABEDCF,CABDEF,CABDEF,ABDCEF,CADBEF,FEBCAD,ABDCEF,DBAFEC,ABECDF,ABDCEF,ACBDEF,ABDCEF,ABCEDF,ACBDEF,ABCEDF,ABCDEF,ABDCEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2VNIOI5GX51C6,3JAOYWH7V00J3XWCNP3NYNNP59KL9W,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:10:13+09:00,2026-05-14T23:10:13+09:00,A2VNIOI5GX51C6,H_0001,ABCDEF,BADCEF,ABCDEF,ABCDEF,BACDEF,DFABCE,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AQCK9RQ5UH587,3CFVK00FW3HWLEUEPI0BEDWNF8CL6L,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:16:24+09:00,2026-05-14T23:16:24+09:00,AQCK9RQ5UH587,H_0001,ACDBEF,BCAEDF,BADECF,ACDBEF,ACDEBF,ACDEFB,BCADEF,ACDEBF,ACDBEF,BCADEF,BCADEF,ACDBEF,BCADEF,BCDEAF,BCADEF,ABCFDE,ABCFDE,ABDECF,ADBCEF,ABDECF,ABCEFD,ACDEBF,CABDEF,ABDECF,ADBCEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,ASSD1YZ4T7335,345LHZDEDFO07LUQFUUEYXGMI83U3I,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:19:37+09:00,2026-05-14T23:19:37+09:00,ASSD1YZ4T7335,H_0001,ACEBDF,ACDBEF,BCADEF,ADBCEF,ABFCDE,ACBEDF,ACDBEF,BCDAEF,ABCFDE,ABECDF,BCADEF,ABDCEF,ABCEDF,BACDEF,ABCFDE,ABCEFD,ACDBEF,ABDECF,BCADEF,ABCFDE,ABFCDE,ABECDF,BCDAEF,BCADEF,ABCFDE
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2ATKVVP74NP3J,3ZAK8W07IMA4QTVTW7CVWZIFFWJ0UT,Submitted,2026-05-11T22:58:20+09:00,2026-05-11T23:21:13+09:00,2026-05-14T23:21:13+09:00,A2ATKVVP74NP3J,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2H4X7CXADPSMK,3I2PTA7R3BQEBQVGJR285I0ZQ9JQKK,Submitted,2026-05-11T22:58:20+09:00,2026-05-11T23:23:11+09:00,2026-05-14T23:23:11+09:00,A2H4X7CXADPSMK,H_0001,AEFDBC,DAEBFC,ACDBEF,ADEBFC,BACDEF,ACBDEF,ACBEDF,ACBDEF,ACBDEF,CBADEF,CADBEF,CBADEF,CBADEF,CABDEF,DACBEF,CADBEF,AEDBFC,ACDBEF,ABCDEF,ABCDEF,CABDEF,CABDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1DKFA464ALYU6,34S6N1K2ZDFCI3EVL1RFB4LDOMSLHM,Submitted,2026-05-11T22:59:15+09:00,2026-05-11T23:33:11+09:00,2026-05-14T23:33:11+09:00,A1DKFA464ALYU6,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A3GBDSRO3V260P,3HPZF4IVN4P51UAEIO24ULQTK9RYCI,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:33:37+09:00,2026-05-14T23:33:37+09:00,A3GBDSRO3V260P,H_0001,EFADCB,DCBAFE,ABFECD,ACBFDE,FEBCAD,ADEBFC,FCABED,FCADBE,ADBFEC,DFBCAE,CADBFE,CFEADB,DCFAEB,CDEFAB,BDCAFE,EACBDF,CEBDAF,AEBFCD,DCFAEB,ADBEFC,CBFEAD,CFABED,CFAEBD,FAECDB,FBAECD
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AZXUXFR96GBV,386PBUZZXXT8999L91U0NH1S1EWLJR,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:34:06+09:00,2026-05-14T23:34:06+09:00,AZXUXFR96GBV,H_0001,DFABCE,EDBFAC,ABDCEF,EDABCF,BACDEF,AFDCBE,FABCDE,FEBACD,AEDCBF,CBEAFD,CEDFBA,CBDFAE,FCEBAD,CDBAEF,BCDAEF,AEFBDC,CEBDAF,EDACBF,ABCEDF,AFCDBE,CBEFAD,CDFBAE,FEACDB,FBADEC,BFCDAE
